  💝  央视.卫视.港台轮播,#genre#

莆田1套综合频道,http://39.135.55.7:6610/PLTV/88888888/224/3221227161/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://xiaogui.yeyuaihao.club:81/fujianputian.php?id=4#rtsp://183.252.166.199/PLTV/88888888/224/3221226724/45553236.smil#http://api.mydianshijia.com/gslb/live?stream_id=py_pt1&type=.m3u8
莆田2套公共频道[1280*720][1280*720],http://xiaogui.yeyuaihao.club:81/fujianputian.php?id=5#http://api.mydianshijia.com/gslb/live?stream_id=py_pt2&type=.m3u8
发现之旅,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226235/1.m3u8?zyangd#http://111.20.33.93/PLTV/88888893/224/3221226235/index.m3u8?zyangd
CCTV13-HD,http://39.135.55.105:6610/PLTV/88888888/224/3221225817/index.m3u8?servicetype=1
好莱坞影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
唯心电视,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8#http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/playlist.m3u8
凤凰咨讯台HD,https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226546/1.m3u8
凤凰中文台HD,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226547/1.m3u8
凤凰中文台HD,http://111.59.189.40:8445/tsfile/live/1020_1.m3u8
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
CHC动作电影,http://39.134.19.252:6610/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC高清电影,http://39.134.19.252:6610/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC家庭影院,http://39.134.19.252:6610/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
黑莓电影,http://39.135.55.105:6610/PLTV/88888888/224/3221225891/index.m3u8?servicetype=1#http://39.134.115.163:8080/PLTV/88888910/224/3221225718/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225718/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225681/index.m3u8
少林剧场,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625526423
武打片展映,http://112.74.200.9:88/tv000000/m3u8.php?/migu/639528313
星光影视,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
动作电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
经典功夫台,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8


💝112114央.卫视直播(回看),#genre#
CCTV1,http://111.13.42.238/PLTV/88888888/224/3221226563/1.m3u8?icpid=88888888&from=1&hms_devid=461#http://111.13.42.238/PLTV/88888888/224/3221226564/1.m3u8?icpid=88888888&from=1&hms_devid=461#http://111.20.33.70/PLTV/88888893/224/3221226231/index.m3u8#http://111.20.33.70/PLTV/88888893/224/3221226239/index.m3u8#http://111.20.33.70/PLTV/88888893/224/3221226457/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226231/index.m3u8#http://111.20.33.93/TVOD/88888893/224/3221226231/index.m3u8#http://111.20.33.93/TVOD/88888893/224/3221226239/index.m3u8#http://111.20.33.93/zycfcdn.gdwlcloud.com/PLTV/88888893/224/3221226231/index.m3u8#http://111.40.196.9/PLTV/88888888/224/3221225548/index.m3u8#http://111.40.196.9/PLTV/88888888/224/3221225769/index.m3u8#http://117.169.120.244:8080/wh7f454c46tw2520989601_203106496/hwrr.jx.chinamobile.com/PLTV/88888910/224/3221225618/index.m3u8?icpid=88888910&RTS=1648965019&from=79102&ocs=2_117.169.120.241_8080&hms_devid=1402&online=1648965019&vqe=3#http://183.207.249.9/PLTV/3/224/3221225530/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225918/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221226221/index.m3u8#http://39.134.116.30:8080/PLTV/88888910/224/3221225762/index.m3u8#http://39.134.65.141/PLTV/88888888/224/3221225816/1.m3u8#http://39.134.65.141/PLTV/88888888/224/3221225816/index.m3u8#http://39.134.65.142/PLTV/88888888/224/3221225816/index.m3u8#http://39.134.65.143/PLTV/88888888/224/3221225816/1.m3u8#http://39.134.65.151/PLTV/88888888/224/3221225816/1.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8#http://39.134.67.98/PLTV/88888888/224/3221225816/index.m3u8#http://39.134.67.99/PLTV/88888888/224/3221225816/index.m3u8#http://39.135.137.205/PLTV/88888888/224/3221225816/1.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225762/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221226221/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221226225/index.m3u8#http://39.135.138.58:18890/PLTV/88888910/224/3221225618/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8#http://39.135.138.59:18890/TVOD/88888910/224/3221225642/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8#http://39.136.48.18:8089/PLTV/88888888/224/3221225859/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225630/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225642/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225762/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225918/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225618/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225630/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225642/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225762/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225918/index.m3u8#http://ncyd.jilu8.cn/PLTV/88888910/224/3221225618/index.m3u8#http://ncyd.jilu8.cn/PLTV/88888910/224/3221225762/index.m3u8

CCTV2,http://111.20.33.70/PLTV/88888893/224/3221226224/index.m3u8#http://111.20.33.93/TVOD/88888893/224/3221226195/index.m3u8#http://111.20.33.93/TVOD/88888893/224/3221226224/index.m3u8#http://111.20.33.93/zycfcdn.gdwlcloud.com/PLTV/88888893/224/3221226195/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8?icpid=88888888&from=30&hms_devid=1452#http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8?icpid=88888888&from=30&hms_devid=1452#http://39.134.116.30:8080/PLTV/88888910/224/3221225619/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8#http://39.135.138.58:18890/PLTV/88888910/224/3221225619/index.m3u8#http://39.135.138.58:18890/PLTV/88888910/224/3221225643/index.m3u8codeyj#http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225643/index.m3u8#http://39.135.138.59:18890/TVOD/88888910/224/3221225643/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225619/index.m3u8#http://39.136.48.18:8089/PLTV/88888888/224/3221225751/index.m3u8#http://39.136.48.53:8089/PLTV/88888888/224/3221225751/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225619/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225643/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225619/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225643/index.m3u8#http://ncyd.jilu8.cn/PLTV/88888910/224/3221225619/index.m3u8#http://ncyd.jilu8.cn/PLTV/88888910/224/3221225643/index.m3u8

